大类	item（L2>L3>L4）	SKU名称	SKU编码	单位	价格
家电维修	油烟机/燃气灶维修>燃气灶维修>不点火维修	燃气灶不点火维修	sku_repair_stove_no_ignite	次	¥99-260
家电维修	油烟机/燃气灶维修>燃气灶维修>漏气安全检测	燃气灶漏气安全检测	sku_repair_stove_leak_check	次	¥79-149
家电维修	电视/厨电小家电维修>电视维修>无图像检修	电视无图像检修	sku_repair_tv_no_display	次	检测费¥80·维修另计
家电维修	电视/厨电小家电维修>微波炉维修>不加热维修	微波炉不加热维修	sku_repair_microwave_not_heat	次	¥99-260
家电维修	电视/厨电小家电维修>洗碗机/消毒柜维修>故障检修	洗碗机/消毒柜故障检修	sku_repair_dishwasher_fault	次	检测费¥80·维修另计
家电维修	疑难故障评估>疑难故障现场评估>现场评估报价	家电疑难故障现场评估	sku_repair_appliance_complex_quote	次	上门检测费¥80·现场评估后报价
上门安装	灯具安装>吸顶灯/吊灯>吸顶灯安装	吸顶灯安装	sku_install_light_ceiling	个	¥69-159
上门安装	灯具安装>吸顶灯/吊灯>吊灯安装	吊灯安装	sku_install_light_chandelier	个	¥129-399
上门安装	灯具安装>射灯/灯带>射灯/筒灯安装	射灯/筒灯安装	sku_install_light_spot	个	¥39-69/个
上门安装	灯具安装>射灯/灯带>灯具拆旧换新	灯具拆旧换新	sku_install_light_replace	次	¥89-199
上门安装	卫浴安装>马桶/花洒>马桶安装	马桶安装	sku_install_toilet	个	¥199-399
上门安装	卫浴安装>马桶/花洒>花洒安装	花洒安装	sku_install_shower	套	¥99-199
上门安装	卫浴安装>浴室柜/五金>浴室柜安装	浴室柜安装	sku_install_bathroom_cabinet	套	¥199-399
上门安装	卫浴安装>浴室柜/五金>卫浴五金挂件安装	镜柜安装	sku_install_mirror_cabinet	个	¥69-169/个
上门安装	卫浴安装>浴室柜/五金>卫浴五金挂件安装	卫浴五金挂件安装	sku_install_towel_rack	件	¥49-99/件
上门安装	厨房设备安装>水槽/龙头>厨房水槽安装	厨房水槽安装	sku_install_sink	个	¥199-399
上门安装	厨房设备安装>水槽/龙头>厨房龙头安装	厨房龙头安装	sku_install_faucet	个	¥79-169
上门安装	厨房设备安装>油烟机/燃气灶/净水器>油烟机安装	油烟机安装	sku_install_hood	台	¥199-399
上门安装	厨房设备安装>油烟机/燃气灶/净水器>燃气灶安装	燃气灶安装	sku_install_stove	台	¥129-299
上门安装	厨房设备安装>油烟机/燃气灶/净水器>洗碗机安装	洗碗机安装	sku_install_dishwasher	台	¥199-399
上门安装	厨房设备安装>油烟机/燃气灶/净水器>净水器安装	净水器安装	sku_install_water_purifier	台	¥129-299
上门安装	家具安装>床/柜安装>床安装	床安装	sku_install_bed	张	¥129-280
上门安装	家具安装>床/柜安装>衣柜安装	衣柜安装	sku_install_wardrobe	件	¥199-499
上门安装	家具安装>桌椅/置物柜>书桌/电脑桌安装	书桌/电脑桌安装	sku_install_desk	件	¥99-220
上门安装	家具安装>桌椅/置物柜>成品置物柜安装	成品置物柜安装	sku_install_shelf_unit	件	¥99-260
上门安装	窗帘/置物架安装>窗帘/晾衣架>窗帘杆安装	窗帘杆安装	sku_install_curtain_rod	根	¥89-199
上门安装	窗帘/置物架安装>窗帘/晾衣架>晾衣架安装	晾衣架安装	sku_install_clothes_hanger	套	¥129-299
上门安装	窗帘/置物架安装>挂架/置物架>电视挂架安装	电视挂架安装	sku_install_tv_mount	台	¥129-299
上门安装	窗帘/置物架安装>挂架/置物架>墙面置物架安装	墙面置物架安装	sku_install_wall_shelf	个	¥69-169
上门安装	家电安装>空调安装>挂机空调安装	挂机空调安装	sku_install_ac_wall	台	¥299-599
上门安装	家电安装>热水器安装>电热水器安装	电热水器安装	sku_install_waterheater_electric	台	¥199-399
上门安装	家电安装>热水器安装>电热水器安装	燃气热水器安装	sku_install_waterheater_gas	台	¥299-599
上门安装	家电安装>洗衣机安装>洗衣机安装	洗衣机安装	sku_install_washer	台	¥129-259
上门安装	窗帘/置物架安装>挂架/置物架>电视挂架安装	电视安装调试	sku_install_tv_setup	台	¥99-259
上门安装	卫浴安装>马桶/花洒>马桶安装	智能马桶安装	sku_install_smart_toilet	个	¥299-599
上门安装	窗帘/置物架安装>挂架/置物架>墙面置物架安装	装饰画/相框安装	sku_install_picture_frame	件	¥39-89/件
上门安装	窗帘/置物架安装>窗帘/晾衣架>窗帘轨道安装	窗帘轨道安装	sku_install_curtain_track	根	¥99-199
上门安装	家具安装>大件家具按小时>大件家具按小时安装	大件家具按小时安装	sku_install_furniture_hourly	小时	¥120/小时起
管道疏通	厨房管道疏通>水槽下水疏通>水槽普通疏通	厨房水槽下水疏通	sku_plumbing_kitchen_sink_basic	次	¥99-199
管道疏通	厨房管道疏通>水槽下水疏通>水槽深度疏通	厨房水槽深度疏通	sku_plumbing_kitchen_sink_deep	次	¥159-299
管道疏通	厨房管道疏通>油污堵塞处理>厨房油污堵塞疏通	厨房油污堵塞疏通	sku_plumbing_kitchen_oil_block	次	¥159-299
管道疏通	厨房管道疏通>厨房主管道>厨房主管道疏通	厨房主管道疏通	sku_plumbing_kitchen_main_pipe	次	¥199-399
管道疏通	卫生间管道疏通>马桶疏通>马桶普通疏通	马桶普通疏通	sku_plumbing_toilet_basic	次	¥99-199
管道疏通	卫生间管道疏通>马桶疏通>马桶硬物堵塞	马桶硬物堵塞疏通	sku_plumbing_toilet_hard_block	次	¥159-299
管道疏通	卫生间管道疏通>马桶疏通>马桶深度疏通	马桶深度疏通	sku_plumbing_toilet_deep	次	¥199-399
管道疏通	卫生间管道疏通>洗手盆疏通>洗手盆下水疏通	洗手盆下水疏通	sku_plumbing_basin_drain	次	¥99-199
管道疏通	卫生间管道疏通>淋浴/浴缸疏通>淋浴房下水疏通	淋浴房下水疏通	sku_plumbing_shower_drain	次	¥99-199
管道疏通	卫生间管道疏通>卫生间主管道>卫生间主管道疏通	卫生间主管道疏通	sku_plumbing_bathroom_main_pipe	次	¥199-399
管道疏通	地漏/阳台疏通>地漏疏通>地漏普通疏通	地漏普通疏通	sku_plumbing_floor_drain_basic	次	¥99-199
管道疏通	地漏/阳台疏通>地漏疏通>深度地漏疏通	地漏深度疏通	sku_plumbing_floor_drain_deep	次	¥159-299
管道疏通	地漏/阳台疏通>阳台管道疏通>阳台下水疏通	阳台下水疏通	sku_plumbing_balcony_drain	次	¥99-199
管道疏通	地漏/阳台疏通>阳台管道疏通>洗衣机地漏疏通	洗衣机地漏疏通	sku_plumbing_washer_floor_drain	次	¥99-199
管道疏通	地漏/阳台疏通>反水/反味处理>下水反水处理	下水反水处理	sku_plumbing_backflow_treatment	次	¥159-299
管道疏通	地漏/阳台疏通>反水/反味处理>下水反味处理	下水反味处理	sku_plumbing_odor_treatment	次	¥99-199
管道疏通	主管道/总管疏通>家庭主管道>家庭主管道疏通	家庭主管道疏通	sku_plumbing_home_main_pipe	次	¥199-499
管道疏通	主管道/总管疏通>楼栋主管道>楼栋主管道疏通	楼栋主管道疏通	sku_plumbing_building_main_pipe	次	现场评估后报价 ¥299起
管道疏通	主管道/总管疏通>疑难堵塞>疑难堵塞现场评估	疑难堵塞现场评估	sku_plumbing_complex_block_quote	次	上门检测¥80·现场评估后报价
管道疏通	下水道/室外排水>下水道普通疏通>下水道普通疏通	下水道普通疏通	sku_plumbing_sewer_basic	次	¥199-499
管道疏通	下水道/室外排水>下水道普通疏通>室外排水沟疏通	室外排水沟疏通	sku_plumbing_outdoor_drain	次	¥199-499
管道疏通	下水道/室外排水>商铺排污>商铺排污管道疏通	商铺排污管道疏通	sku_plumbing_shop_sewage	次	现场评估后报价 ¥299起
管道疏通	管道检测/高压清洗>高压清洗>管道高压清洗	管道高压清洗	sku_plumbing_high_pressure_clean	次	¥199-599
管道疏通	管道检测/高压清洗>内窥镜检测>管道内窥镜检测	管道内窥镜检测	sku_plumbing_camera_detect	次	检测费¥80
管道疏通	管道检测/高压清洗>堵点定位>管道堵点定位	管道堵点定位	sku_plumbing_block_location	次	上门检测费¥80
管道疏通	管道检测/高压清洗>管道养护>管道定期养护	管道定期养护	sku_plumbing_regular_maintenance	小时	¥120/小时
管道疏通	厨房管道疏通>油污堵塞处理>厨房油污堵塞疏通	厨余垃圾堵塞处理	sku_plumbing_kitchen_food_waste	次	¥129-249
管道疏通	卫生间管道疏通>淋浴/浴缸疏通>淋浴房下水疏通	浴缸下水疏通	sku_plumbing_bathtub_drain	次	¥129-249
管道疏通	下水道/室外排水>商铺排污>商铺排污管道疏通	化粪池相关现场评估	sku_plumbing_septic_quote	次	现场评估后报价 ¥299起
管道疏通	管道检测/高压清洗>高压清洗>管道高压清洗	管道高压深度清洗	sku_plumbing_high_pressure_deep	次	¥299-799
开锁换锁	上门开锁>房门开锁>普通门锁开锁	普通门锁开锁	sku_lock_unlock_standard	次	¥80-150
开锁换锁	上门开锁>房门开锁>防盗门开锁	防盗门开锁	sku_lock_unlock_security_door	次	¥120-250
开锁换锁	上门开锁>室内门开锁>卧室门开锁	卧室门开锁	sku_lock_unlock_bedroom	次	¥69-129
开锁换锁	上门开锁>紧急开锁>紧急开锁服务	紧急开锁服务	sku_lock_unlock_emergency	次	¥150-300
开锁换锁	上门开锁>紧急开锁>钥匙断在锁里处理	钥匙断在锁里处理	sku_lock_unlock_key_broken	次	¥129-250
开锁换锁	换锁/换锁芯>锁芯更换>普通锁芯更换	普通锁芯更换	sku_lock_cylinder_replace_basic	次	¥129-280(含锁芯)
开锁换锁	换锁/换锁芯>锁芯更换>防盗门锁芯更换	防盗门锁芯更换	sku_lock_cylinder_replace_security	次	¥199-399(含锁芯)
开锁换锁	换锁/换锁芯>门锁更换>普通门锁更换	普通门锁更换	sku_lock_lockset_replace_basic	次	¥159-349(含锁体)
开锁换锁	换锁/换锁芯>门锁更换>防盗门锁体更换	防盗门锁体更换	sku_lock_lockset_replace_security	次	¥299-599(含锁体)
开锁换锁	换锁/换锁芯>执手/把手更换>门把手更换	门把手更换	sku_lock_handle_replace	次	¥99-249(含把手)
开锁换锁	智能锁服务>智能锁安装>智能门锁安装	智能门锁安装	sku_lock_smart_install	次	¥199-399
开锁换锁	智能锁服务>智能锁安装>旧锁改智能锁安装	旧锁改智能锁安装	sku_lock_smart_replace	次	¥249-499
开锁换锁	智能锁服务>智能锁维修>指纹故障检修	智能锁指纹故障检修	sku_lock_smart_fingerprint_fault	次	检测费¥80·维修另计
开锁换锁	智能锁服务>智能锁维修>电池/供电故障	智能锁电池/供电故障	sku_lock_smart_battery_fault	次	¥69-169
开锁换锁	汽车开锁>汽车开锁>汽车开锁	汽车开锁	sku_lock_car_unlock	次	¥198-580
开锁换锁	汽车开锁>汽车开锁>钥匙锁车内	车钥匙锁车内开锁	sku_lock_car_key_inside	次	¥198-580
开锁换锁	保险柜/柜锁>保险柜开锁>保险柜开锁现场评估	保险柜开锁现场评估	sku_lock_safe_unlock_quote	次	现场评估后报价 ¥150起
开锁换锁	保险柜/柜锁>柜锁/抽屉锁>文件柜/抽屉锁开锁	文件柜/抽屉锁开锁	sku_lock_cabinet_unlock	次	¥79-169
开锁换锁	配钥匙/门禁卡>配钥匙>普通钥匙复制	普通钥匙复制	sku_lock_key_copy_basic	把	¥20-50/把
开锁换锁	配钥匙/门禁卡>配钥匙>防盗门钥匙复制	防盗门钥匙复制	sku_lock_key_copy_security	把	¥30-80/把
开锁换锁	配钥匙/门禁卡>门禁卡/遥控器>门禁卡复制	门禁卡复制	sku_lock_access_card_copy	张	¥30-60/张
开锁换锁	上门开锁>室内门开锁>卧室门开锁	室内门开锁	sku_lock_unlock_indoor	次	¥69-129
开锁换锁	智能锁服务>智能锁维修>电池/供电故障	智能锁密码/系统故障	sku_lock_smart_password_fault	次	检测费¥80·维修另计
开锁换锁	汽车开锁>汽车开锁>钥匙锁车内	汽车后备箱开锁	sku_lock_car_trunk_unlock	次	¥198-580
开锁换锁	保险柜/柜锁>保险柜开锁>保险柜开锁现场评估	保险柜密码重置	sku_lock_safe_password_reset	次	¥199-599
开锁换锁	保险柜/柜锁>柜锁/抽屉锁>文件柜/抽屉锁开锁	抽屉锁开锁	sku_lock_drawer_unlock	次	¥69-149
开锁换锁	配钥匙/门禁卡>门禁卡/遥控器>门禁卡复制	遥控器复制	sku_lock_remote_copy	个	¥40-100/个
开锁换锁	换锁/换锁芯>门锁更换>普通门锁更换	室内门锁更换	sku_lock_indoor_lock_replace	次	¥129-269(含锁体)
开锁换锁	智能锁服务>智能锁安装>智能门锁安装	智能门锁调试	sku_lock_smart_debug	次	¥99-199
开锁换锁	上门开锁>紧急开锁>紧急开锁服务	紧急开锁现场评估	sku_lock_emergency_quote	次	现场评估后报价 ¥100起
水电维修	电路维修>跳闸检修>跳闸原因检测	跳闸原因检测	sku_electrical_trip_detect	次	检测费¥80·维修另计
水电维修	电路维修>短路排查>短路排查维修	短路排查维修	sku_electrical_short_circuit_detect	次	检测费¥80·维修另计
水电维修	电路维修>漏电检测>漏电检测维修	漏电检测维修	sku_electrical_leakage_detect	次	检测费¥80·维修另计
水电维修	电路维修>电箱/空开>空开/断路器更换	空开/断路器更换	sku_electrical_breaker_replace	个	¥99-249(含空开)
水电维修	电路维修>电箱/空开>配电箱检测维修	配电箱检测维修	sku_electrical_distribution_box_check	次	检测费¥80·维修另计
水电维修	开关插座维修/安装>插座/开关维修>插座故障维修	插座故障维修	sku_electrical_socket_repair	个	¥69-169
水电维修	开关插座维修/安装>插座/开关维修>开关故障维修	开关故障维修	sku_electrical_switch_repair	个	¥69-169
水电维修	开关插座维修/安装>面板更换>开关插座面板更换	开关插座面板更换	sku_electrical_panel_replace	个	¥49-99/个
水电维修	开关插座维修/安装>新增插座点位>新增插座点位	新增插座点位	sku_electrical_socket_add	点	¥150-299/点
水电维修	开关插座维修/安装>新增插座点位>USB插座安装	USB插座安装	sku_electrical_usb_socket_install	个	¥129-249
水电维修	灯具线路维修>灯不亮检修>灯具不亮检修	灯具不亮检修	sku_electrical_light_not_working	次	检测费¥80·维修另计
水电维修	灯具线路维修>灯闪烁/线路>灯具闪烁维修	灯具闪烁维修	sku_electrical_light_flicker	次	检测费¥80·维修另计
水电维修	灯具线路维修>驱动/镇流器更换>驱动/镇流器更换	灯具驱动/镇流器更换	sku_electrical_light_driver_replace	个	¥79-199(含配件)
水电维修	水管维修>明管漏水维修>明管漏水维修	明管漏水维修	sku_water_pipe_visible_leak_repair	次	¥99-249
水电维修	水管维修>暗管漏水检测>暗管漏水检测	暗管漏水检测	sku_water_pipe_hidden_leak_detect	次	检测费¥120·维修另计
水电维修	水管维修>接头/短管更换>水管接头维修	水管接头维修	sku_water_pipe_joint_repair	次	¥99-249
水电维修	水管维修>接头/短管更换>PPR水管维修	PPR水管维修	sku_water_pipe_ppr_repair	次	¥129-299
水电维修	龙头阀门维修>水龙头维修/更换>水龙头漏水维修	水龙头漏水维修	sku_faucet_leak_repair	次	¥69-169
水电维修	龙头阀门维修>水龙头维修/更换>水龙头更换	水龙头更换	sku_faucet_replace	个	¥99-249(不含龙头)
水电维修	龙头阀门维修>角阀/软管/阀门>角阀更换	角阀更换	sku_angle_valve_replace	个	¥69-149(含角阀)
水电维修	龙头阀门维修>角阀/软管/阀门>进水软管更换	进水软管更换	sku_hose_replace	根	¥59-129(含软管)
水电维修	厨卫水电小修>厨卫综合小修>厨房水电小修	厨房水电小修	sku_kitchen_plumbing_minor_repair	次	¥99-249
水电维修	厨卫水电小修>厨卫综合小修>卫生间水电小修	卫生间水电小修	sku_bathroom_plumbing_minor_repair	次	¥99-249
水电维修	厨卫水电小修>厨卫综合小修>马桶水箱配件维修	马桶水箱配件维修	sku_toilet_water_fitting_repair	次	¥89-199(含配件)
水电维修	开关插座维修/安装>新增插座点位>新增插座点位	插座移位	sku_electrical_socket_move	点	¥150-299/点
水电维修	开关插座维修/安装>面板更换>开关插座面板更换	网口/弱电面板维修	sku_electrical_network_panel	个	¥69-169
水电维修	水管维修>接头/短管更换>PPR水管维修	PVC下水管维修	sku_water_pipe_pvc_repair	次	¥99-249
